id,user_id,action,timestamp,resource,ip_address,data_size,is_anomaly,anomaly_type
4c025f49-1fe6-4b3d-9115-e503315f710d,user_5,UPLOAD,2025-03-10 02:39:23.186704,LAMBDA_FUNCTION,195.10.144.237,27648,True,odd_hour
6d9d98d2-3399-4fb9-acf4-64b0e1a3f9cf,user_3,LOGIN,2025-03-10 05:52:32.602398,S3_BUCKET,226.250.103.84,81920,True,odd_hour
68f5aebb-0e0f-4303-9a3b-d80ba96f4018,user_5,UPDATE,2025-03-10 08:01:46.911011,EC2_INSTANCE,136.54.200.208,50176,False,
b0ccab27-46ca-447b-a824-bfa8da076162,user_2,UPDATE,2025-03-10 08:02:27.853398,LAMBDA_FUNCTION,194.56.16.115,49152,False,
19f49702-39d4-4f8b-8f83-ff0aa5d5b507,user_17,UPDATE,2025-03-10 08:05:27.287656,IAM_ROLE,49.71.165.53,8192,False,
f9e1d488-6fd6-4c40-94c5-2e971f6657f5,user_17,UPLOAD,2025-03-10 08:07:06.183942,CLOUDWATCH_LOG,206.186.157.173,92160,False,
879f7020-39de-4aca-a984-c3cd2596eee0,user_7,DOWNLOAD,2025-03-10 08:18:17.433659,LAMBDA_FUNCTION,182.62.170.99,32768,False,
64bb125b-94e9-4f74-ad15-93de5039c238,user_20,READ,2025-03-10 08:25:49.456610,S3_BUCKET,72.67.100.176,11264,False,
c64cfce5-b8e4-4c8a-af4e-d4cdde9abba3,user_12,UPDATE,2025-03-10 08:27:58.758540,IAM_ROLE,172.179.136.95,10240,False,
da735f71-ad21-4f2a-acff-34bb7ffe0c8b,user_10,DELETE,2025-03-10 08:29:21.859458,LAMBDA_FUNCTION,109.249.25.37,76800,False,
dc6f0059-87aa-4452-8823-60cc05821260,user_17,WRITE,2025-03-10 08:33:15.917366,RDS_DATABASE,49.71.165.53,95232,False,
537bb8e8-9461-4f11-84cf-ffd816433a55,user_12,WRITE,2025-03-10 08:33:24.906628,DYNAMODB_TABLE,51.159.116.190,71680,False,
b9f51da2-92b8-4e7b-b9d9-3099c5c1e588,user_9,WRITE,2025-03-10 08:36:28.408151,S3_BUCKET,191.211.186.92,13312,False,
4e922695-50c1-4212-aadd-128028ff9355,user_9,DOWNLOAD,2025-03-10 08:40:50.462994,DYNAMODB_TABLE,250.112.145.120,70656,False,
457b6027-e2e9-4a45-a575-4837bfb2a6ed,user_13,DELETE,2025-03-10 08:42:12.526414,RDS_DATABASE,250.108.136.29,58368,False,
58bf0259-d2c7-4d4f-96a1-e5afee99d54f,user_2,UPDATE,2025-03-10 08:42:15.938470,EC2_INSTANCE,194.56.16.115,25600,False,
6883e122-58cf-4eaf-a6d8-a82986d0d1f9,user_13,UPDATE,2025-03-10 08:42:35.216384,EC2_INSTANCE,250.108.136.29,68608,False,
